structure_1,structure_2,pdd_emd,amd_dist,identical,very_similar,similar
mp-13161,cod-2300450,1.14054109,1.14054109579358,False,False,False
mp-13161,cod-4517837,1.301804887143318,1.2500412332207036,False,False,False
mp-13161,cod-9004178,1.14020688,1.1402068850169504,False,False,False
mp-13161,cod-9004179,1.14629584,1.1462958409380573,False,False,False
mp-13161,cod-9004180,1.14020688,1.1402068850169504,False,False,False
mp-13161,cod-9004181,1.14629584,1.1462958409380573,False,False,False
mp-13161,cod-9008877,1.14106196,1.1410619628579841,False,False,False
mp-13161,cod-9011662,1.14040883,1.14040883100376,False,False,False
mp-1986,mp-2133,0.78003852,0.7800385201296391,False,False,False
mp-1986,mp-2229,1.05391063,1.0539106340386288,False,False,False
mp-1986,mp-2346983,1.31407379,1.3140737999170784,False,False,False
mp-1986,mp-997630,1.0466707372998354,1.0450423441916317,False,False,False
mp-1986,cod-1011258,0.75699597,0.756995979360763,False,False,False
mp-1986,cod-1011259,0.88901287,0.8890128780926521,False,False,False
mp-1986,cod-1534836,1.08335263,1.0833526346171745,False,False,False
mp-1986,cod-1536063,1.1819112701106378,0.9214917551161372,False,False,False
mp-1986,cod-1537875,0.10425762,0.10425762167290031,False,False,True
mp-1986,cod-2107059,0.77424674,0.774246749427351,False,False,False
mp-1986,cod-2300112,0.78639312,0.7863931261597319,False,False,False
mp-1986,cod-2300113,0.76393678,0.7639367821933316,False,False,False
mp-1986,cod-2300114,0.74145252,0.7414525231031348,False,False,False
mp-1986,cod-2300115,0.71999896,0.7199989646340823,False,False,False
mp-1986,cod-2300116,0.70552111,0.7055211157676089,False,False,False
mp-1986,cod-2300450,0.78670188,0.7867018854931915,False,False,False
mp-1986,cod-4517837,1.0338710488949487,1.0356495859142907,False,False,False
mp-1986,cod-9004178,0.78623778,0.7862377851480593,False,False,False
mp-1986,cod-9004179,0.79093576,0.7909357629432092,False,False,False
mp-1986,cod-9004180,0.78623778,0.7862377851480593,False,False,False
mp-1986,cod-9004181,0.79093576,0.7909357629432092,False,False,False
mp-1986,cod-9008877,0.78721609,0.787216096438045,False,False,False
mp-1986,cod-9011662,0.78677026,0.7867702652350026,False,False,False
mp-2133,mp-2229,1.04162554,1.0416255448081309,False,False,False
mp-2133,mp-2346983,1.30814471,1.3081447143394205,False,False,False
mp-2133,mp-997630,1.034385647791239,1.0327572549611337,False,False,False
mp-2133,cod-1011258,0.04455364,0.044553648155744696,False,True,True
mp-2133,cod-1011259,0.22485277,0.22485277377921342,False,False,True
mp-2133,cod-1534836,1.07106754,1.0710675453866765,False,False,False
mp-2133,cod-1536063,1.1349140107080438,0.8888888888888888,False,False,False
mp-2133,cod-1537875,0.72159191,0.7215919121783818,False,False,False
mp-2133,cod-2107059,0.04945151,0.049451516403386186,False,True,True
mp-2133,cod-2300112,0.03112731,0.031127310515384643,False,True,True
mp-2133,cod-2300113,0.06283287,0.06283287789158631,False,True,True
mp-2133,cod-2300114,0.09318541,0.0931854130330576,False,True,True
mp-2133,cod-2300115,0.13302646,0.13302646998053458,False,False,True
mp-2133,cod-2300116,0.14515626,0.14515626191990005,False,False,True
mp-2133,cod-2300450,0.02146877,0.021468773779214523,False,True,True
mp-2133,cod-4517837,0.928702065755572,0.8888888888888888,False,False,False
mp-2133,cod-9004178,0.03178698,0.031786987840376035,False,True,True
mp-2133,cod-9004179,0.02945277,0.02945277377921407,False,True,True
mp-2133,cod-9004180,0.03624418,0.036244189449704756,False,True,True
mp-2133,cod-9004181,0.02945277,0.02945277377921407,False,True,True
mp-2133,cod-9008877,0.1764088,0.1764088068605274,False,False,True
mp-2133,cod-9011662,0.1763743,0.17637430686052746,False,False,True
mp-2229,mp-2346983,1.46762492,1.467624926110524,False,False,False
mp-2229,mp-997630,0.2790627921708212,0.8571428571428572,False,False,True
mp-2229,cod-1011258,1.02671854,1.0267185468458169,False,False,False
mp-2229,cod-1011259,1.0817251,1.0817251031432362,False,False,False
mp-2229,cod-1534836,0.088326,0.08832600173563776,False,True,True
mp-2229,cod-1536063,1.333313289804187,1.3511696765788832,False,False,False
mp-2229,cod-1537875,1.10375528,1.1037552895339822,False,False,False
mp-2229,cod-2107059,1.02899056,1.028990563001527,False,False,False
mp-2229,cod-2300112,1.03880938,1.038809388796047,False,False,False
mp-2229,cod-2300113,1.02224031,1.0222403107046425,False,False,False
mp-2229,cod-2300114,1.00563109,1.0056310920068015,False,False,False
mp-2229,cod-2300115,0.98979947,0.989799472942873,False,False,False
mp-2229,cod-2300116,0.97879265,0.9787926513505316,False,False,False
mp-2229,cod-2300450,1.03901323,1.039013235812464,False,False,False
mp-2229,cod-4517837,1.3123446960686835,1.3102909355391903,False,False,False
mp-2229,cod-9004178,1.03825915,1.0382591502483547,False,False,False
mp-2229,cod-9004179,1.04099562,1.040995621685258,False,False,False
mp-2229,cod-9004180,1.03825915,1.0382591502483547,False,False,False
